epoch,train_loss,val_loss,val_bleu,val_rouge
1,6.413622678527832,6.189803451299667,7.932250452479847,20.031960057512986
2,5.523483985748291,5.689349919557571,8.97804080098582,23.12900605685698
3,4.976013845977783,5.362426251173019,11.438653172827959,27.953868851673374
4,4.613142099761963,5.176654100418091,10.720888209640618,28.755254086842815
5,4.398390523986817,5.076519876718521,13.099483884815871,31.05685762337992
6,4.202016042861938,4.9212353229522705,14.405047801435568,32.493803100255086
7,4.074025051651001,4.8946132361888885,14.163125954802556,33.48761317762519
8,3.9808276927948,4.8408065140247345,15.010250291959743,34.0227174698542
9,3.9118374224090577,4.795420914888382,14.762461095821717,34.7353921582195
10,3.854753218383789,4.769968211650848,14.801557126289767,34.15745039300253
11,3.811264635925293,4.7438181936740875,15.359211817460666,34.71407319236878
12,3.7709583605194092,4.747050493955612,15.053492130014847,35.56351118174615
13,3.7370502266693113,4.731344789266586,15.414173748725817,35.70291783221178
14,3.7090245165252687,4.723279416561127,15.496219044150882,35.57986320462377
15,3.6823696811676023,4.696067422628403,15.807679259777636,35.61063402886237
16,3.661046426620483,4.719212830066681,16.139764109540025,35.95469280434854
17,3.641733614730835,4.7057289481163025,15.586150141013848,35.384711433460474
18,3.622739681854248,4.690164029598236,15.488158376715548,36.098126078666795
19,3.6059630464172363,4.701754570007324,15.568049767064535,35.68023333181164
20,3.5892592111206056,4.690625876188278,15.829226387217444,36.36426235584651
21,3.5748944745635987,4.687144607305527,15.37926511565758,36.15540681889243
22,3.562458447418213,4.660176634788513,15.739653820261912,36.09924882640358
23,3.5509825509643553,4.687448501586914,15.78346925236934,35.99048158672714
24,3.539781275405884,4.678487449884415,15.99821466220954,36.0422192489896
25,3.5298229697418213,4.697856247425079,16.645357580522077,36.32376259303097
26,3.518209338760376,4.679706037044525,15.734534013868858,35.63101256783936
27,3.508577103652954,4.681856989860535,16.01450368166838,36.36514819592958
28,3.5008451928710937,4.684617727994919,16.220381613516142,35.901958039006914
