epoch,train_loss,val_loss,val_bleu,val_rouge
1,5.7734131904602055,7.791379332542419,8.068168125695035,22.565742946789953
2,4.961701105957031,7.250133961439133,8.979628563422892,26.761720069202745
3,4.687689675598144,7.026493072509766,11.227813913349658,29.422134586662413
4,4.603944059143067,6.907914578914642,12.049095528011046,32.19076499992595
5,4.5944376287841795,6.767312288284302,12.060664253015588,32.71014220700311
6,4.633828438873291,6.58255010843277,12.262752175125227,32.363810636792195
7,4.710266965942383,6.486267268657684,11.636790645599653,32.659344128463665
8,4.788547981109619,6.44453701376915,11.248614496559457,32.15384670064455
9,4.8860459236145015,6.336468607187271,10.820793034546863,31.442665758007415
10,4.968901391296387,6.25473091006279,10.793044802771655,31.050556423378932
11,5.045431777038575,6.198643147945404,9.982964654504462,29.941827284057275
12,5.007258360443116,6.209436923265457,10.724622800064838,31.295863883676994
13,4.972109172058105,6.179232150316238,10.020392383709018,30.400559338169526
14,4.944617650451661,6.206194490194321,10.78005360364846,31.462755178581382
15,4.916115412292481,6.182913929224014,10.466280886740416,30.9809514493104
16,4.887677700805664,6.180234223604202,10.33917509760444,30.72000072377386
17,4.700929941864014,6.204501271247864,10.494234211445894,30.888259077103296
18,4.64261328666687,6.213805168867111,10.698373372031721,30.905269539583173
19,4.612149347686768,6.252456933259964,10.976062160038575,31.510034614396194
