epoch,train_loss,val_loss,val_bleu,val_rouge
1,6.827018734746086,6.016541063785553,13.259945935358088,22.701626685375516
2,6.056961544024678,5.773667007684708,12.866119575673135,22.969153064188124
3,5.7021692842721174,5.568508446216583,14.658082333582422,24.26039689731186
4,5.388828353759961,5.4589709639549255,16.831894780956098,26.299298546389416
5,5.100125244250313,5.356079339981079,17.621296831059105,27.56305877403282
6,4.784816486005204,5.321653068065643,18.111430804202886,28.124158569881363
7,4.509551337732675,5.278513044118881,18.27681309606446,28.789173765660724
8,4.26356286210374,5.291365683078766,20.423646047519018,30.124852887127286
9,4.044541616409351,5.323335200548172,18.39044432450277,29.440763284952865
10,3.849337797195386,5.385024458169937,18.79617864251266,28.67478393985027
11,3.667112790738432,5.410106837749481,19.892024608305963,29.105564371472397
12,3.5028869861992784,5.48568269610405,21.226901234436056,30.39695984139999
13,3.352150540001476,5.574715286493301,19.731156695231228,29.959840508678433
