epoch,train_loss,val_loss,val_bleu,val_rouge
1,6.656417246443776,6.70835480093956,13.274589194425342,25.345248020133525
2,6.002677521385705,6.754336506128311,11.574108446359235,24.465884525083883
3,5.849442309845751,6.620047450065613,11.257877910050732,24.102085077315436
4,5.795671633638132,6.425329566001892,18.076521156234374,26.844025126308868
5,5.765591225304162,6.370381653308868,15.567033465559197,24.697187244906335
6,5.774322323905774,6.3011229038238525,16.59403156104399,25.734964275021184
7,5.794639983497108,6.319486290216446,15.432880431480728,25.58045587122123
8,5.825702961260518,6.235816866159439,15.338640998265916,26.01046684238721
9,5.849098941388602,6.189750075340271,14.778843048165708,26.285984257348417
10,5.878814794765875,6.159116446971893,15.955319171859383,27.06190249730227
11,5.90002464257871,6.165349662303925,14.866378063203154,26.379155211716025
12,5.843622480337612,6.198643863201141,15.946825924121047,26.725251706181147
13,5.784349639575702,6.172385215759277,15.524150669539123,26.590799222291917
14,5.676359994723774,6.195828586816788,15.33816985177818,26.857747636106982
15,5.634234528952894,6.216024547815323,15.379280235664517,27.262226110397574
16,5.583087055827863,6.239067316055298,15.389135058857624,26.856032170744022
