epoch,train_loss,val_loss,val_bleu,val_rouge
1,6.838728761520629,6.022445410490036,14.789254767742403,22.595932619194546
2,6.051104215006478,5.755642831325531,14.662850863861335,24.29581330667877
3,5.6931470910581154,5.577853977680206,19.176980240801505,27.13083575179841
4,5.385316548636927,5.454944580793381,18.877454247596262,27.110403867809207
5,5.099360243580974,5.3683843314647675,17.0380314822854,27.143515030528278
6,4.789934770748638,5.2872563898563385,17.64448016779745,27.74669895888361
7,4.518339847223446,5.311762660741806,19.608729077612594,29.723298789415516
8,4.270895168804132,5.342421114444733,21.626618215040853,29.697055672894468
9,4.052706729108914,5.3134375512599945,20.56993470364547,29.681966955590696
10,3.8529193469891534,5.357877343893051,19.808318359135498,30.23530111626035
11,3.67324703417647,5.406447261571884,20.363956063390194,30.15592495666464
12,3.509912685845226,5.459480285644531,19.906116585316894,29.860120407077396
